,Token,ATH date,Price,24hr change,24 hrs High,3 days High,7 days High,30 days High,24 hrs Wick High,24 hrs Volume,cmc_rank,symbol,ratings,contract_address,CATEGORY,self_reported_tags,url,ALGORITHM,OTHERS,date_added,PLATFORM,slug
270,DREAMS/USDT,2024-10-18,0.000297,4.210526315789481,-17.5,-17.5,-17.5,-17.5,-19.07356948228882,138358.488392,1499.0,DREAMS/USDT,3.9,['BNB Smart Chain (BEP20)'],"['Collectibles & NFTs', 'PolkaFoundry Red Kite', 'DWF Labs Portfolio']","['Marketplace', 'Platform', 'Collectibles & NFTs', 'Gaming', 'Entertainment', 'Mobile', 'Ethereum Ecosystem', 'Layer 2', 'PolkaFoundry Red Kite']",https://coinmarketcap.com/currencies/dreams-quest,No tags available for this,No tags available for this,2021-09-09,No tags available for this,dreams-quest
543,RPK/USDT,2024-09-21,0.00566,19.91525423728813,-17.492711370262388,-17.492711370262388,-17.492711370262388,-33.490011750881315,-20.61711079943899,130096.046992897,2322.0,RPK/USDT,3.9,['Ethereum'],No tags available for this,"['Platform', 'Store Of Value', 'Communications & Social Media', 'Content Creation', 'Social Token', 'CMS Holdings Portfolio', 'Huobi Capital Portfolio', 'Token', 'OKEx Blockdream Ventures Portfolio']",https://coinmarketcap.com/currencies/republik,No tags available for this,No tags available for this,2023-11-13,['Ethereum Ecosystem'],republik
771,DAPP/USDT,2024-09-27,0.2016,10.891089108910897,-16.625310173697265,-16.625310173697265,-16.625310173697265,,-22.192203782323425,117321.070144,2069.0,DAPP/USDT,3.2,['Ethereum'],"['Platform', 'Interoperability', 'Smart Contracts']",,https://coinmarketcap.com/currencies/liquid-apps,No tags available for this,No tags available for this,2019-06-28,['EOS'],liquid-apps
417,OLE/USDT,2024-10-16,0.01451,7.961309523809522,-16.56124209315698,-36.72045355429568,-36.72045355429568,-36.72045355429568,-22.778073443320917,257404.60936548,1311.0,OLE/USDT,4.2,"['Ethereum', 'BNB Smart Chain (BEP20)', 'Arbitrum']","['Binance Labs Portfolio', 'DWF Labs Portfolio']","['Decentralized Exchange (DEX) Token', 'DeFi', 'Derivatives']",https://coinmarketcap.com/currencies/openleverage,No tags available for this,No tags available for this,2022-06-22,No tags available for this,openleverage
137,XCUR/USDT,2024-09-25,0.005433,14.886868259674364,-16.415384615384607,-16.415384615384607,-20.032381513099786,-35.38296860133207,-30.34615384615384,44909.086236911,1732.0,XCUR/USDT,4.0,"['Ethereum', 'BNB Smart Chain (BEP20)']","['Collectibles & NFTs', 'DeFi', 'Governance']",,https://coinmarketcap.com/currencies/curate,No tags available for this,No tags available for this,2020-12-10,"['Algorand Ecosystem', 'BNB Chain']",curate
661,TRUF/USDT,2024-09-27,0.04612,-4.887605691895231,-15.747168432590419,-19.087719298245613,-37.370994024986416,-51.14924266497193,-16.9009009009009,20945.404526,,,,,,,,,,,,
710,UNA/USDT,2024-10-13,0.02003,-1.2327416173570032,-15.556492411467124,-15.556492411467124,-30.062849162011172,-30.062849162011172,-16.887966804979257,32803.195186,,,,,,,,,,,,
47,ORN/USDT,2024-10-18,1.5052,63.5731362747229,-15.07560370119611,-15.07560370119611,-15.07560370119611,-15.07560370119611,-18.637837837837836,3332744.10045643,657.0,ORN/USDT,no rating found,"['Ethereum', 'BNB Smart Chain (BEP20)']","['DeFi', 'DEX', 'DAO Maker', 'Exnetwork Capital Portfolio']","['Marketplace', 'DeFi', 'DAO', 'DApp', 'DEX', 'Web3']",https://coinmarketcap.com/currencies/orion-xyz,No tags available for this,No tags available for this,2020-07-16,"['Algorand Ecosystem', 'Avalanche Ecosystem', 'Fantom Ecosystem', 'Injective Ecosystem']",orion-xyz
681,HIP/USDT,2024-10-18,0.00683,97.97101449275362,-14.943960149439606,-14.943960149439606,-14.943960149439606,-14.943960149439606,-24.111111111111104,659433.557051,,,,,,,,,,,,
692,CTA/USDT,2024-09-21,0.07164,-12.655449890270667,-12.655449890270667,-30.073206442166917,-33.1529345899039,-42.56393810630963,-13.769860375541654,63009.532785,,,,,,,,,,,,
